day,theme,tip
240,Digital Products & Etsy,"Add a “how to unzip” note if selling ZIP files."
241,Digital Products & Etsy,"Include a start-here file."
242,Digital Products & Etsy,"Keep the customer ZIP tidy."
243,Digital Products & Etsy,"Do not include seller notes inside buyer files."
244,Digital Products & Etsy,"Separate Etsy upload files from working files."
245,Digital Products & Etsy,"Make listing images explain the product quickly."
246,Digital Products & Etsy,"Use mockups honestly."
247,Digital Products & Etsy,"Do not show more value than the buyer receives."
248,Digital Products & Etsy,"Include licence terms inside the download."
249,Digital Products & Etsy,"Include support instructions inside the download."
250,Digital Products & Etsy,"Test the buyer journey before listing."
251,Digital Products & Etsy,"Download your own files after listing if possible."
252,Digital Products & Etsy,"Keep file sizes manageable."
253,Digital Products & Etsy,"Use Google Drive links only when platform file limits require it."
254,Digital Products & Etsy,"Keep Drive folders locked to buyer-safe contents."
255,Digital Products & Etsy,"Never expose master files unless you intend to sell them."
256,Pricing & Money,"Price from profit, not emotion."
257,Pricing & Money,"Know production cost before setting price."
258,Pricing & Money,"Know platform fees before setting price."
259,Pricing & Money,"Know ad cost before scaling ads."
260,Pricing & Money,"Cheap is not always easier to sell."
261,Pricing & Money,"A low price can signal low value."
262,Pricing & Money,"A high price needs stronger proof."
263,Pricing & Money,"Use coupons strategically, not constantly."
264,Pricing & Money,"Track gross revenue, fees, refunds, and net profit."
265,Pricing & Money,"Do not confuse revenue with income."
266,Pricing & Money,"Put time cost into your product decisions."
267,Pricing & Money,"A £15 product that takes two hours to maintain may beat a £3 product that needs support."
268,Pricing & Money,"Avoid products with high support and low margin."
269,Pricing & Money,"Bundle only when the bundle is easier to understand."
270,Pricing & Money,"Use tiers when buyers have different levels of need."
271,Pricing & Money,"Make the next upgrade obvious."
272,Pricing & Money,"Keep one entry-level offer simple."
273,Pricing & Money,"Keep one premium offer more complete."
274,Pricing & Money,"Review prices after proof of demand."
275,Pricing & Money,"Do not discount a weak product instead of fixing it."
276,Pricing & Money,"Use limited coupons for launch testing."
277,Pricing & Money,"Track which coupon generated the sale."
278,Pricing & Money,"Avoid selling lifetime complexity for one tiny payment."
279,Pricing & Money,"Build assets that can be sold more than once."
280,Pricing & Money,"Profit improves when production becomes repeatable."
281,Launch & Marketing,"Build the listing before launch day."
282,Launch & Marketing,"Build launch images before upload day."
283,Launch & Marketing,"Write captions in batches."
284,Launch & Marketing,"Create one main CTA per campaign."
285,Launch & Marketing,"Avoid sending buyers to too many places."
286,Launch & Marketing,"Use Pinterest for searchable evergreen visuals."
287,Launch & Marketing,"Use TikTok for quick demonstrations and hooks."
288,Launch & Marketing,"Use YouTube Shorts for repurposed vertical demos."
289,Launch & Marketing,"Show the product in use."
290,Launch & Marketing,"Show before-and-after outcomes."
291,Launch & Marketing,"Turn buyer confusion into content."
292,Launch & Marketing,"Turn FAQs into posts."
293,Launch & Marketing,"Turn mistakes into helpful warnings."
294,Launch & Marketing,"Turn checklists into carousel posts."
295,Launch & Marketing,"Turn one guide into many short tips."
296,Launch & Marketing,"Reuse the same product angle across multiple formats."
297,Launch & Marketing,"Change the hook before changing the whole campaign."
298,Launch & Marketing,"Keep captions specific."
299,Launch & Marketing,"Avoid generic “check this out” posts."
300,Launch & Marketing,"Use the first second of a video to show the problem."
301,Launch & Marketing,"Use simple text overlays."
302,Launch & Marketing,"Do not overcrowd video slides."
303,Launch & Marketing,"Make each carousel slide understandable alone."
304,Launch & Marketing,"Put the CTA on the final slide."
305,Launch & Marketing,"Add the shop link where the platform allows."
306,Launch & Marketing,"Keep brand colours consistent."
307,Launch & Marketing,"Save campaign sets in numbered folders."
308,Launch & Marketing,"Record which images were posted."
309,Launch & Marketing,"Do not repost the same creative endlessly without tracking."
310,Launch & Marketing,"Market the outcome, not the file format."
311,Reviews, Trust & Audience,"Ask for reviews politely, never aggressively."
312,Reviews, Trust & Audience,"Do not offer rewards for positive reviews."
313,Reviews, Trust & Audience,"Make the product easy to review by making it easy to use."
314,Reviews, Trust & Audience,"Reduce refunds by being clear before purchase."
315,Reviews, Trust & Audience,"Answer support messages with reusable templates."
316,Reviews, Trust & Audience,"Turn repeated support questions into product fixes."
317,Reviews, Trust & Audience,"Keep a public tone calm and professional."
318,Reviews, Trust & Audience,"Never argue with a buyer in public."
319,Reviews, Trust & Audience,"Bad reviews can reveal unclear listing copy."
320,Reviews, Trust & Audience,"Positive reviews can reveal your strongest selling point."
321,Reviews, Trust & Audience,"Save buyer language for future copy inspiration."
322,Reviews, Trust & Audience,"Build trust with accurate previews."
323,Reviews, Trust & Audience,"Show real pages where appropriate."
324,Reviews, Trust & Audience,"Do not hide important limitations."
325,Reviews, Trust & Audience,"Be specific about who the product is not for."
326,Reviews, Trust & Audience,"A smaller happy audience beats a broad disappointed one."
327,Reviews, Trust & Audience,"Keep an email list if you can maintain it."
328,Reviews, Trust & Audience,"Use freebies to lead to paid products."
329,Reviews, Trust & Audience,"Make your freebie genuinely useful."
330,Reviews, Trust & Audience,"Do not let free products distract from paid offers."
331,Legal, Rights & Admin,"Keep a rights log for every image, font, quote, and template."
332,Legal, Rights & Admin,"Save receipts and licence screenshots."
333,Legal, Rights & Admin,"Avoid using celebrity names or brands unless legally safe."
334,Legal, Rights & Admin,"Avoid fan-art products unless you own or licence the rights."
335,Legal, Rights & Admin,"Do not assume “found online” means usable."
336,Legal, Rights & Admin,"Check public domain status by country and edition."
337,Legal, Rights & Admin,"Treat AI-generated assets as needing human review."
338,Legal, Rights & Admin,"Keep prompts and source notes for AI-assisted assets."
339,Legal, Rights & Admin,"Add disclaimers where buyers might assume guaranteed outcomes."
340,Legal, Rights & Admin,"Keep business and personal files separate."
341,Legal, Rights & Admin,"Use a consistent imprint name."
342,Legal, Rights & Admin,"Keep tax records from day one."
343,Legal, Rights & Admin,"Track expenses by product line."
344,Legal, Rights & Admin,"Keep customer-facing promises conservative."
345,Legal, Rights & Admin,"Do not publish medical, legal, or financial advice casually."
346,Legal, Rights & Admin,"Use permissions requests for risky third-party material."
347,Legal, Rights & Admin,"Keep contracts and licences in one admin folder."
348,Legal, Rights & Admin,"Record publication dates."
349,Legal, Rights & Admin,"Record takedown requests or disputes."
350,Legal, Rights & Admin,"Protect your best systems as business assets."
351,Systems & Automation,"Use one master folder template for every product."
352,Systems & Automation,"Create folders for source, working, export, proof, final, listing, and marketing."
353,Systems & Automation,"Use version numbers in filenames."
354,Systems & Automation,"Use dates in archive folders."
355,Systems & Automation,"Never overwrite the only good file."
356,Systems & Automation,"Keep a manifest of included files."
357,Systems & Automation,"Generate a file list before zipping customer products."
358,Systems & Automation,"Test ZIP files before upload."
359,Systems & Automation,"Keep scripts small and documented."
360,Systems & Automation,"Automate repeated exports where possible."
361,Systems & Automation,"Automate checks before automating creation."
362,Systems & Automation,"Build dashboards for status, not decoration."
363,Systems & Automation,"Use “Draft,” “Proof,” “Ready,” “Live,” and “Retired” consistently."
364,Systems & Automation,"If the same mistake happens twice, add a checklist or script."
365,Systems & Automation,"The best indie publishing system is one that makes the next product faster, safer, and easier to sell."
